SampleID,AMBI_bact
Ext_0m_1_a,8.82472480948349
Ext_0m_1_b,8.348817567567568
Ext_0m_1_c,6.9048920863309355
Ext_0m_2_a,8.31111111111111
Ext_0m_2_b,8.125459746628525
Ext_0m_2_c,8.427568218298557
Ext_0m_3_a,8.791197715437596
Ext_0m_3_b,8.529558961526432
Ext_0m_3_c,7.852737570799244
Ext_1000m_1_a,1.8863156587607102
Ext_1000m_1_b,1.7672885997945909
Ext_1000m_1_c,1.4413159908186686
Ext_100m_1_a,2.8410714285714285
Ext_100m_1_b,5.405495169082126
Ext_100m_1_c,5.7270277739394775
Ext_2000m_1_a,1.415929203539823
Ext_2000m_1_b,1.4967637540453074
Ext_2000m_1_c,1.4112412177985947
Ext_250m_1_a,3.2187447417129396
Ext_250m_1_b,2.44348826507133
Ext_250m_1_c,2.498015618998848
Ext_500m_1_a,1.907401315789474
Ext_500m_1_b,2.166553996957918
Ext_500m_1_c,1.9861348528015192
Ext_50m_1_a,8.154443682887822
Ext_50m_1_b,6.357692307692307
Ext_50m_1_c,8.61592893706715
Ext_Control_1_a,1.365842167255595
Ext_Control_1_b,1.5910184442662387
Ext_Control_1_c,1.7742142857142857
Ext_Control_2_a,1.5035153695225636
Ext_Control_2_b,2.0531288999821715
Ext_Control_2_c,1.442610873729188
Ext_Control_3_a,0.9691780821917808
Ext_Control_3_b,1.3127245694461656
Ext_Control_3_c,1.3883086742094577
Int_0m_1_a,7.497062663185379
Int_0m_1_b,8.728480204342274
Int_0m_1_c,8.404189074440986
Int_0m_2_a,10.11978465679677
Int_0m_2_b,9.300936768149883
Int_0m_2_c,8.87103109656301
Int_0m_3_a,8.77893175074184
Int_0m_3_b,8.729591836734693
Int_0m_3_c,8.473413379073756
Int_1000m_1_a,1.4187096774193548
Int_1000m_1_b,1.3134282178217822
Int_100m_1_a,3.5477611940298504
Int_100m_1_b,3.730606330806955
Int_100m_1_c,4.3866055346323884
Int_2000m_1_a,1.2125918503674016
Int_2000m_1_b,0.7782734506872439
Int_2000m_1_c,0.9784366576819405
Int_250m_1_a,2.2185314685314688
Int_250m_1_b,3.986257928118393
Int_250m_1_c,4.25288488601182
Int_500m_1_a,1.5285795132993776
Int_500m_1_b,1.5525536639526276
Int_500m_1_c,1.953225391930095
Int_50m_1_a,5.28863745787193
Int_50m_1_b,4.86001902346227
Int_50m_1_c,8.73627974745022
Int_Control_1_a,0.34449760765550236
Int_Control_1_b,0.6045281421921286
Int_Control_1_c,0.6357943925233646
Int_Control_2_a,0.4146951336795538
Int_Control_2_b,0.7259814873922756
Int_Control_2_c,0.5977077363896848
Int_Control_3_a,1.066764850270005
Int_Control_3_b,0.6512820512820512
Int_Control_3_c,1.2010869565217392
